customer_id,total_amount,invoice,quantity,avg_basket,spend_early,spend_late,spend_drop,country,total_spend,driver
12347,636.25,1,483,636.25,636.25,0.0,636.25,Iceland,5633.32,price
12348,367.0,1,269,367.0,367.0,0.0,367.0,Finland,2019.4,price
12352,280.65999999999997,2,127,140.32999999999998,280.65999999999997,0.0,280.66,Norway,2849.84,price
12353,89.0,1,20,89.0,0.0,89.0,0.0,Bahrain,406.76,adoption
12354,1079.4,1,530,1079.4,0.0,1079.4,0.0,Spain,1079.4,adoption
12355,459.4,1,240,459.4,0.0,459.4,0.0,Bahrain,947.61,adoption
12356,481.46,1,370,481.46,481.46,0.0,481.46,Portugal,6373.68,price
12360,1083.58,1,434,1083.58,0.0,1083.58,0.0,Austria,4252.89,adoption
12362,495.24,1,275,495.24,0.0,495.24,0.0,Belgium,5356.23,adoption
12363,299.1,1,282,299.1,299.1,0.0,299.1,Unspecified,552.0,price
12370,938.39,1,1005,938.39,938.39,0.0,938.39,Cyprus,4320.3099999999995,price
12372,515.7,1,368,515.7,0.0,515.7,0.0,Denmark,1298.04,adoption
12383,499.23,2,168,249.615,499.23,0.0,499.23,Belgium,1850.56,price
12388,210.9,1,90,210.9,210.9,0.0,210.9,Australia,3901.11,price
12393,421.6,1,224,421.6,421.6,0.0,421.6,Australia,2399.45,price
12394,381.08,1,182,381.08,0.0,381.08,0.0,Belgium,1272.48,adoption
12395,658.29,3,476,219.42999999999998,326.5,331.79,0.98,Belgium,5067.2699999999995,competition
12399,768.9499999999999,2,858,384.47499999999997,288.05,480.9,0.6,Belgium,1962.3,adoption
12407,495.96,2,419,247.98,226.29999999999998,269.65999999999997,0.84,Belgium,1708.12,adoption
12408,837.59,2,356,418.795,837.59,0.0,837.59,Belgium,4340.77,price
12413,84.65,1,25,84.65,0.0,84.65,0.0,France,999.45,adoption
12414,408.65,2,155,204.325,0.0,408.65,0.0,Austria,952.41,adoption
12415,29768.0,4,18857,7442.0,17076.84,12691.16,1.35,Australia,144458.37,competition
12417,846.3,2,393,423.15,410.0,436.29999999999995,0.94,Belgium,6816.91,adoption
12423,936.53,3,548,312.1766666666667,602.71,333.82,1.8,Belgium,2622.39,competition
12426,582.73,1,258,582.73,0.0,582.73,0.0,Germany,1345.21,adoption
12428,1341.32,3,646,447.1066666666666,1341.32,0.0,1341.32,Finland,7956.46,price
12429,437.98,1,198,437.98,0.0,437.98,0.0,Austria,7485.91,adoption
12431,947.25,2,415,473.625,0.0,947.25,0.0,Australia,10857.97,adoption
12434,286.25,1,77,286.25,286.25,0.0,286.25,Australia,1103.43,price
12435,3978.99,1,879,3978.99,3978.99,0.0,3978.99,Denmark,13925.93,price
12437,992.13,4,581,248.0325,147.71,844.42,0.17,France,12683.4,competition
12447,476.49,1,190,476.49,476.49,0.0,476.49,Belgium,476.49,price
12451,2388.31,1,1771,2388.31,0.0,2388.31,0.0,Switzerland,12669.88,adoption
12456,940.17,1,445,940.17,940.17,0.0,940.17,Switzerland,3181.04,price
12457,1067.25,3,397,355.75,888.25,179.0,4.93,Switzerland,2995.91,price
12463,647.95,2,357,323.975,350.57,297.38,1.17,Belgium,1344.78,adoption
12464,181.0,2,18,90.5,0.0,181.0,0.0,Belgium,1212.05,adoption
12471,2433.81,6,1022,405.635,1552.61,881.1999999999999,1.76,Germany,39963.79,competition
12472,592.18,1,368,592.18,592.18,0.0,592.18,Germany,17880.59,price
12474,1831.75,4,1249,457.9375,1063.67,768.08,1.38,Germany,12424.45,competition
12476,1722.87,2,648,861.435,0.0,1722.87,0.0,Germany,14115.41,adoption
12477,2221.02,1,728,2221.02,2221.02,0.0,2221.02,Germany,20276.37,price
12480,771.02,1,395,771.02,771.02,0.0,771.02,Germany,5464.85,price
12481,1706.12,4,1212,426.53,832.3399999999999,873.78,0.95,Germany,12361.39,competition
12483,447.1,3,148,149.03333333333333,0.0,447.1,0.0,Sweden,5120.58,competition
12490,331.5,1,164,331.5,0.0,331.5,0.0,France,9823.64,adoption
12493,232.5,1,88,232.5,0.0,232.5,0.0,France,433.74,adoption
12494,403.09,1,157,403.09,0.0,403.09,0.0,France,1872.87,adoption
12500,491.28,2,362,245.64,491.28,0.0,491.28,Germany,5955.21,price
12502,1225.4,2,263,612.7,702.8,522.6,1.34,Spain,3723.87,adoption
12506,73.5,1,23,73.5,0.0,73.5,0.0,France,73.5,adoption
12514,1017.6800000000001,1,440,1017.6800000000001,1017.6800000000001,0.0,1017.68,Italy,1597.76,price
12520,1697.56,3,945,565.8533333333334,1233.96,463.6,2.66,Germany,2634.2599999999998,price
12523,253.84,2,150,126.92,253.84,0.0,253.84,France,4372.15,price
12524,1970.65,3,1460,656.8833333333333,475.44,1495.21,0.32,Germany,11126.11,competition
12528,278.13,1,77,278.13,278.13,0.0,278.13,Germany,1933.48,price
12530,417.6,1,232,417.6,0.0,417.6,0.0,Germany,3759.2599999999998,adoption
12539,1085.99,1,335,1085.99,1085.99,0.0,1085.99,Spain,11214.75,price
12540,3827.3599999999997,3,1867,1275.7866666666666,1140.76,2686.6,0.42,Spain,22254.489999999998,competition
12541,312.4,1,288,312.4,312.4,0.0,312.4,Spain,981.18,price
12545,628.15,1,346,628.15,628.15,0.0,628.15,Spain,1000.39,price
12547,207.8,2,134,103.9,159.4,48.4,3.23,Spain,383.58,price
12553,1028.01,3,517,342.67,675.16,352.85,1.91,France,4608.75,competition
12557,817.5,1,550,817.5,817.5,0.0,817.5,Spain,18716.14,price
12562,444.96000000000004,1,183,444.96000000000004,0.0,444.96000000000004,0.0,France,4966.92,adoption
12564,456.9,1,133,456.9,456.9,0.0,456.9,France,456.9,price
12567,705.21,1,234,705.21,0.0,705.21,0.0,France,13709.86,adoption
