customer_id,avg_basket,invoice,total_amount,spend_drop,total_spend,country,driver,churn,high_ltv,snapshot
12352,140.32999999999998,2,280.65999999999997,280.66,2849.84,Norway,price,1,False,2011-06-01
12383,249.615,2,499.23,499.23,1850.56,Belgium,price,0,False,2011-06-01
12395,219.42999999999998,3,658.29,0.98,5067.2699999999995,Belgium,competition,0,False,2011-06-01
12399,384.47499999999997,2,768.9499999999999,0.6,1962.3,Belgium,adoption,0,False,2011-06-01
12407,247.98,2,495.96,0.84,1708.12,Belgium,adoption,1,False,2011-06-01
12408,418.795,2,837.59,837.59,4340.77,Belgium,price,0,False,2011-06-01
12414,204.325,2,408.65,0.0,952.41,Austria,adoption,1,False,2011-06-01
12415,7442.0,4,29768.0,1.35,144458.37,Australia,competition,0,True,2011-06-01
12417,423.15,2,846.3,0.94,6816.91,Belgium,adoption,0,False,2011-06-01
12423,312.1766666666667,3,936.53,1.8,2622.39,Belgium,competition,1,False,2011-06-01
12428,447.1066666666666,3,1341.32,1341.32,7956.46,Finland,price,1,False,2011-06-01
12431,473.625,2,947.25,0.0,10857.97,Australia,adoption,1,False,2011-06-01
12437,248.0325,4,992.13,0.17,12683.4,France,competition,0,False,2011-06-01
12457,355.75,3,1067.25,4.93,2995.91,Switzerland,price,1,False,2011-06-01
12463,323.975,2,647.95,1.17,1344.78,Belgium,adoption,0,False,2011-06-01
12464,90.5,2,181.0,0.0,1212.05,Belgium,adoption,1,False,2011-06-01
12471,405.635,6,2433.81,1.76,39963.79,Germany,competition,1,False,2011-06-01
12474,457.9375,4,1831.75,1.38,12424.45,Germany,competition,0,False,2011-06-01
12476,861.435,2,1722.87,0.0,14115.41,Germany,adoption,1,False,2011-06-01
12481,426.53,4,1706.12,0.95,12361.39,Germany,competition,0,False,2011-06-01
12483,149.03333333333333,3,447.1,0.0,5120.58,Sweden,competition,0,False,2011-06-01
12500,245.64,2,491.28,491.28,5955.21,Germany,price,0,False,2011-06-01
12502,612.7,2,1225.4,1.34,3723.87,Spain,adoption,1,False,2011-06-01
12520,565.8533333333334,3,1697.56,2.66,2634.2599999999998,Germany,price,1,False,2011-06-01
12523,126.92,2,253.84,253.84,4372.15,France,price,1,False,2011-06-01
12524,656.8833333333333,3,1970.65,0.32,11126.11,Germany,competition,0,False,2011-06-01
12540,1275.7866666666666,3,3827.3599999999997,0.42,22254.489999999998,Spain,competition,0,False,2011-06-01
12547,103.9,2,207.8,3.23,383.58,Spain,price,1,False,2011-06-01
12553,342.67,3,1028.01,1.91,4608.75,France,competition,1,False,2011-06-01
12569,232.86399999999998,5,1164.32,2.16,4124.69,Germany,competition,0,False,2011-06-01
12583,567.405,2,1134.81,1.69,14447.44,France,adoption,0,False,2011-06-01
12590,4932.13,2,9864.26,0.0,9864.26,Germany,adoption,1,False,2011-06-01
12594,291.9975,4,1167.99,0.39,5090.11,Italy,competition,0,False,2011-06-01
12598,282.44,2,564.88,0.0,4534.09,France,adoption,1,False,2011-06-01
12600,204.40666666666667,3,613.22,0.25,5043.92,Germany,competition,1,False,2011-06-01
12601,125.8,2,251.6,0.78,681.26,Germany,adoption,0,False,2011-06-01
12613,365.63,4,1462.52,1.28,6835.07,Germany,competition,1,False,2011-06-01
12619,315.83,2,631.66,0.48,3781.38,Germany,adoption,1,False,2011-06-01
12621,739.4883333333333,6,4436.93,0.28,24775.81,Germany,competition,0,False,2011-06-01
12637,291.69,3,875.0699999999999,875.07,8340.31,France,price,1,False,2011-06-01
12643,270.36,2,540.72,0.0,8350.42,France,adoption,0,False,2011-06-01
12647,369.57,3,1108.71,2.77,17924.35,Germany,price,1,False,2011-06-01
12654,85.575,2,171.15,0.0,601.98,Germany,adoption,1,False,2011-06-01
12656,829.8,2,1659.6,0.0,6407.83,France,adoption,1,False,2011-06-01
12662,373.11,2,746.22,746.22,6988.0199999999995,Germany,price,0,False,2011-06-01
12669,1136.3,2,2272.6,2272.6,2744.0299999999997,France,price,1,False,2011-06-01
12670,513.195,2,1026.39,0.0,3760.29,France,adoption,1,False,2011-06-01
12678,1688.565,2,3377.13,3377.13,34281.18,France,price,0,False,2011-06-01
12681,493.73333333333335,6,2962.4,0.94,30868.28,France,competition,0,False,2011-06-01
12682,394.19166666666666,6,2365.15,0.82,24033.91,France,competition,0,False,2011-06-01
12683,454.03000000000003,5,2270.15,1.24,12696.78,France,competition,0,False,2011-06-01
12684,305.7,3,917.1,0.0,2283.63,France,competition,0,False,2011-06-01
12693,234.36,2,468.72,1.04,1703.02,Germany,adoption,1,False,2011-06-01
12705,1153.05,2,2306.1,1.34,11762.1,Germany,adoption,1,False,2011-06-01
12708,285.7033333333333,3,857.11,0.49,5314.1,Germany,competition,0,False,2011-06-01
12709,244.26,3,732.78,1.97,31093.34,Germany,competition,0,False,2011-06-01
12712,308.0125,4,1232.05,0.73,7193.66,Germany,competition,0,False,2011-06-01
12720,206.07333333333335,6,1236.44,1.78,8260.67,Germany,competition,0,False,2011-06-01
12726,269.71,2,539.42,1.41,4014.6,France,adoption,0,False,2011-06-01
12727,286.58,2,573.16,573.16,5679.53,France,price,0,False,2011-06-01
12731,995.94,4,3983.76,1.88,25775.71,France,competition,0,False,2011-06-01
12744,2736.5266666666666,3,8209.58,8209.58,25317.06,Singapore,price,1,False,2011-06-01
12747,385.655,2,771.31,0.0,9276.539999999999,United Kingdom,adoption,0,False,2011-06-01
12748,107.48190476190476,42,4514.24,0.38,56599.39,United Kingdom,competition,0,False,2011-06-01
12754,1482.585,2,2965.17,0.01,3010.7400000000002,Japan,adoption,1,False,2011-06-01
12757,840.4460000000001,5,4202.2300000000005,0.0,7857.1,Portugal,competition,0,False,2011-06-01
12775,265.215,2,530.43,0.8,1686.12,Netherlands,adoption,0,False,2011-06-01
12778,136.79,2,273.58,273.58,1775.68,Netherlands,price,0,False,2011-06-01
12779,591.9433333333333,3,1775.83,1.36,6722.2699999999995,Poland,competition,0,False,2011-06-01
12811,137.3,2,274.6,274.6,1033.9,Portugal,price,1,False,2011-06-01
12840,788.985,2,1577.97,0.0,4041.97,United Kingdom,adoption,0,False,2011-06-01
12841,137.085,4,548.34,3.69,7540.68,United Kingdom,price,0,False,2011-06-01
12843,209.01999999999998,3,627.06,0.17,6588.41,United Kingdom,competition,0,False,2011-06-01
12845,96.33333333333333,3,289.0,289.0,354.09000000000003,United Kingdom,price,1,False,2011-06-01
12853,228.8,2,457.6,457.6,3907.5,United Kingdom,price,1,False,2011-06-01
12867,475.795,2,951.59,1.11,7913.29,United Kingdom,adoption,0,False,2011-06-01
12868,342.895,2,685.79,0.57,2247.06,United Kingdom,adoption,0,False,2011-06-01
12877,88.145,4,352.58,0.93,2955.17,United Kingdom,competition,0,False,2011-06-01
12878,427.495,2,854.99,0.58,854.99,United Kingdom,adoption,1,False,2011-06-01
12888,177.06,2,354.12,3.31,354.12,United Kingdom,price,1,False,2011-06-01
12901,707.7781818181819,11,7785.56,0.73,17654.54,United Kingdom,competition,0,False,2011-06-01
12909,509.45666666666665,3,1528.37,1.44,3103.19,United Kingdom,competition,1,False,2011-06-01
12910,380.8333333333333,3,1142.5,1.7,5796.5199999999995,United Kingdom,competition,1,False,2011-06-01
12916,732.465,2,1464.93,0.8,4654.0199999999995,United Kingdom,adoption,1,False,2011-06-01
12921,390.1766666666667,6,2341.06,0.83,35921.04,United Kingdom,competition,0,False,2011-06-01
